anime_id,title,title_japanese,episodes,aired_from,tags,image_url,image_path
11013,Inu x Boku SS,妖狐×僕SS,12,2012-01-13,manga pg-13 - teen 13 or older davidproduct comedi supernatur romanc shounen,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,posters/11013.jpg
2104,Seto no Hanayome,瀬戸の花嫁,26,2007-04-02,manga pg-13 - teen 13 or older gonzo comedi parodi romanc school shounen,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,posters/2104.jpg
5262,Shugo Chara!! Doki,しゅごキャラ！！どきっ,51,2008-10-04,manga pg - children satelight comedi magic school shoujo,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,posters/5262.jpg
721,Princess Tutu,プリンセスチュチュ,38,2002-08-16,origin pg-13 - teen 13 or older halfilmmak comedi drama magic romanc fantasi,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,posters/721.jpg
12365,Bakuman. 3rd Season,バクマン。,25,2012-10-06,manga pg-13 - teen 13 or older j.c.staff comedi drama romanc shounen,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,posters/12365.jpg
6586,Yume-iro Pâtissière,夢色パティシエール,50,2009-10-04,manga g - all age studiopierrot studiohibari kid school shoujo,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,posters/6586.jpg
178,Ultra Maniac,ウルトラマニアック,26,2003-05-20,manga g - all age productionre magic comedi romanc school shoujo,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,posters/178.jpg
2787,Shakugan no Shana II (Second),灼眼のシャナII –Second–,24,2007-10-05,light novel pg-13 - teen 13 or older j.c.staff action drama fantasi romanc school supernatur,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,posters/2787.jpg
4477,Nodame Cantabile: Paris-hen,のだめカンタービレ 巴里編,11,2008-10-10,manga pg-13 - teen 13 or older j.c.staff music sliceoflif comedi romanc josei,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,posters/4477.jpg
853,Ouran Koukou Host Club,桜蘭高校ホスト部,26,2006-04-05,manga pg-13 - teen 13 or older bone comedi harem romanc school shoujo,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,posters/853.jpg
4814,Junjou Romantica 2,純情ロマンチカ2(に),12,2008-10-12,manga pg-13 - teen 13 or older studiodeen comedi drama romanc shounenai,https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg,posters/4814.jpg
7054,Kaichou wa Maid-sama!,会長はメイド様!,26,2010-04-02,manga pg-13 - teen 13 or older j.c.staff comedi romanc school shoujo,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,posters/7054.jpg
11123,Sekaiichi Hatsukoi 2,世界一初恋 2,12,2011-10-08,manga pg-13 - teen 13 or older studiodeen comedi drama romanc shounenai,https://myanimelist.cdn-dena.com/images/anime/8/34871.jpg,posters/11123.jpg
14227,Tonari no Kaibutsu-kun,となりの怪物くん,13,2012-10-02,manga pg-13 - teen 13 or older brain&#039;sbas sliceoflif comedi romanc school shoujo,https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg,posters/14227.jpg
269,Bleach,BLEACH - ブリーチ -,366,2004-10-05,manga pg-13 - teen 13 or older studiopierrot action adventur comedi superpow supernatur shounen,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,posters/269.jpg
59,Chobits,ちょびっツ,26,2002-04-03,manga pg-13 - teen 13 or older madhous sci-fi comedi drama romanc ecchi seinen,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,posters/59.jpg
6045,Kimi ni Todoke,君に届け,25,2009-10-07,manga pg-13 - teen 13 or older productioni.g sliceoflif drama romanc school shoujo,https://myanimelist.cdn-dena.com/images/anime/7/17890.jpg,posters/6045.jpg
1735,Naruto: Shippuuden,ナルト- 疾風伝,500,2007-02-15,manga pg-13 - teen 13 or older studiopierrot action adventur comedi superpow martialart shounen,https://myanimelist.cdn-dena.com/images/anime/5/17407.jpg,posters/1735.jpg
210,Ranma ½,らんま1/2,161,1989-04-15,manga r+ - mild nuditi studiodeen sliceoflif comedi martialart fantasi,https://myanimelist.cdn-dena.com/images/anime/13/6441.jpg,posters/210.jpg
4224,Toradora!,とらドラ！,25,2008-10-02,light novel pg-13 - teen 13 or older j.c.staff sliceoflif comedi romanc school,https://myanimelist.cdn-dena.com/images/anime/13/22128.jpg,posters/4224.jpg
10030,Bakuman. 2nd Season,バクマン。2ndシーズン,25,2011-10-01,manga pg-13 - teen 13 or older j.c.staff comedi drama romanc shounen,https://myanimelist.cdn-dena.com/images/anime/3/34923.jpg,posters/10030.jpg
74,Gakuen Alice,学園アリス,26,2004-10-30,manga g - all age grouptac comedi school shoujo superpow,https://myanimelist.cdn-dena.com/images/anime/4/18118.jpg,posters/74.jpg
4722,Skip Beat!,スキップ・ビート！,25,2008-10-06,manga pg-13 - teen 13 or older halfilmmak comedi drama romanc shoujo,https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg,posters/4722.jpg
14397,Chihayafuru 2,ちはやふる 2,25,2013-01-12,manga pg-13 - teen 13 or older madhous drama game josei school sliceoflif sport,https://myanimelist.cdn-dena.com/images/anime/6/47435.jpg,posters/14397.jpg
